Student ID,fname,lname,email,address,password,Course1,Course2,Course3,Course4,Course5,Course6
997250291,Ali,Ali,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,BIOB33H3;LEC01;PRA0001; ,,ANTA02H3 Y,ANTA02H3 Y
997250293,Imran ,Khan,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,BIOB33H3;LEC01;PRA0001; ,,ANTA02H3 Y,ANTA02H3 Y
997250295,Nawaz,Sharif,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,,,ANTA02H3 Y,ANTA02H3 Y
997250297,Zardari,Bhutto,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,,,ANTA02H3 Y,ANTA02H3 Y
997250299,Faisal,Qureshi,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,,,ANTA02H3 Y,ANTA02H3 Y
997250301,Shebaz ,Sahrif,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,BIOB33H3;LEC01;PRA0001; ,,ANTA02H3 Y,ANTA02H3 Y
997250303,Altaf,Hussein,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,BIOB33H3;LEC01;PRA0001; ,,ANTA02H3 Y,ANTA02H3 Y
997250305,Bilawal,Bhutto,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,,BIOB33H3;LEC01;PRA0001; ,ANTA02H3 Y,,ANTA02H3 Y
997250307,Sheikh,Rashid,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0001; ,ANTA02H3 Y,,ANTA02H3 Y
997250309,Hasan,Ali,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,ANTA02H3 Y,,ANTA02H3 Y
997250311,Bakhtawar,Siddiqui,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,ANTA02H3 Y,,ANTA02H3 Y
997250313,Jaudat,Syed,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,ANTA02H3 Y,,ANTA02H3 Y
997250315,Waqas,Nawaz,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,ANTA02H3 Y,,ANTA02H3 Y
997250317,Ahrar,Anwar,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; , ,ANTA02H3 Y,ANTA02H3 Y
997250319,Salman,Ali,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,ANTA02H3 Y,ANTA02H3 Y,ANTA02H3 Y
997250321,Abdullah,Butt,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,ANTA02H3 Y,,ANTA02H3 Y
997250323,Kassim ,Shroff,a@gmail.com,M1C1K9,a@gmail.com,BIOB10Y3;LEC01;TUT0001;,BIOB11H3;LEC01;TUT0001;,BIOB33H3;LEC01;PRA0002; ,,ANTA02H3 Y,
